Job Name,Company,Salary,Link
QA/QC Engineer,Yield Guild Games (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2142
Smart Contract Engineer,Ellipsis Labs (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2141
Backend Engineer,Ellipsis Labs (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2140
Social Media Manager,Optimism  (100+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2139
Rust Engineer,IOTA (100+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2138
Golang Engineer,Gate io  (100+ Staff),"$2,000 - $5,600 / month",https://www.dejob.top/jobDetail?id=1028
Solidity Engineer,Gate io  (100+ Staff),"$2,800 - $5,600 / month",https://www.dejob.top/jobDetail?id=2005
Javascript Engineer,Gate io  (100+ Staff),"$2,000 - $3,600 / month",https://www.dejob.top/jobDetail?id=1973
Golang Engineer,Gate io  (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=1972
Data Engineer,Gate io  (100+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=1957
Software Engineer,Gate io  (100+ Staff),"$2,000 - $3,500 / month",https://www.dejob.top/jobDetail?id=1824
Product Manager,Gate io  (100+ Staff),"$2,100 - $3,200 / month",https://www.dejob.top/jobDetail?id=698
Senior Product Manager,Gate io  (100+ Staff),"$3,000 - $5,600 / month",https://www.dejob.top/jobDetail?id=1512
DevOps Engineer,Gate io  (100+ Staff),"$2,700 - $3,500 / month",https://www.dejob.top/jobDetail?id=1163
Technical Services Engineer,Gate io  (100+ Staff),"$1,000 - $1,650 / month",https://www.dejob.top/jobDetail?id=1415
QA/QC Engineer,Gate io  (100+ Staff),"$1,300 - $2,800 / month",https://www.dejob.top/jobDetail?id=696
Product Assistant,Gate io  (100+ Staff),"$1,100 - $2,100 / month",https://www.dejob.top/jobDetail?id=1698
Zero-Knowledge Cryptography Engineer,Gate io  (100+ Staff),"$5,000 - $11,000 / month",https://www.dejob.top/jobDetail?id=1560
PHP R&D Engineer,Gate io  (100+ Staff),"$3,000 - $4,500 / month",https://www.dejob.top/jobDetail?id=1031
Backend Engineer,Gate io  (100+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=1956
System Architect,Gate io  (100+ Staff),"$2,500 - $3,800 / month",https://www.dejob.top/jobDetail?id=1198
Public Relations Manager,Binance (100+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2137
Social Media Operation,4e (30+ Staff),"$4,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2136
Business Development,4e (30+ Staff),"$3,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2135
Business Manager,4e (30+ Staff),"$3,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2134
